epoch,train_loss,train_mpjpe_3d,step,val_mpjpe_3d,val_loss,test_mpjpe_3d,test_loss
0,114.48597717285156,92.74317169189453,19,,,,
0,110.19011688232422,90.1963119506836,39,,,,
0,118.60763549804688,97.9006118774414,59,,,,
0,113.52465057373047,91.29515838623047,79,,,,
0,113.3332748413086,92.02786254882812,99,,,,
0,113.13568115234375,93.3291244506836,119,,,,
0,115.12168884277344,94.12663269042969,139,,,,
0,113.6239013671875,92.99250030517578,159,,,,
0,114.14088439941406,92.25065612792969,179,,,,
0,119.53681945800781,97.70915985107422,199,,,,
0,113.48652648925781,93.71237182617188,219,,,,
0,109.89682006835938,90.49430084228516,239,,,,
0,123.61708068847656,99.9975357055664,259,,,,
0,136.05032348632812,107.22467803955078,279,,,,
0,,,297,104.11114501953125,43.555564880371094,,
1,113.90544128417969,92.22503662109375,299,,,,
1,118.10424041748047,96.5820541381836,319,,,,
1,117.49957275390625,96.01383209228516,339,,,,
1,106.19795989990234,88.37387084960938,359,,,,
1,116.7598876953125,94.92650604248047,379,,,,
1,111.30044555664062,92.58932495117188,399,,,,
1,113.88581085205078,92.4020767211914,419,,,,
1,121.55255126953125,97.36375427246094,439,,,,
1,113.34298706054688,93.0777816772461,459,,,,
1,118.78056335449219,95.26252746582031,479,,,,
1,119.07472229003906,96.00956726074219,499,,,,
1,117.60256958007812,93.91166687011719,519,,,,
1,111.77886962890625,92.46790313720703,539,,,,
1,123.82618713378906,99.46160888671875,559,,,,
1,120.04207611083984,98.01719665527344,579,,,,
1,,,595,102.5126724243164,42.76372146606445,,
2,106.22531127929688,86.46430969238281,599,,,,
2,108.17044830322266,90.48186492919922,619,,,,
2,115.91307067871094,94.95514678955078,639,,,,
2,114.25857543945312,93.62434387207031,659,,,,
2,113.77763366699219,93.0423812866211,679,,,,
2,113.63001251220703,93.1213607788086,699,,,,
2,116.21180725097656,95.70516967773438,719,,,,
2,105.60736083984375,86.04052734375,739,,,,
2,112.60845184326172,92.6666488647461,759,,,,
2,112.96833801269531,93.17173767089844,779,,,,
2,106.36383819580078,86.94171142578125,799,,,,
2,109.58909606933594,89.81769561767578,819,,,,
2,106.40243530273438,87.74667358398438,839,,,,
2,104.57759857177734,86.61409759521484,859,,,,
2,113.02471923828125,92.70985412597656,879,,,,
2,,,893,98.68463897705078,40.734130859375,,
3,110.7425537109375,92.80181121826172,899,,,,
3,101.48648834228516,84.46997833251953,919,,,,
3,102.42910766601562,85.21733856201172,939,,,,
3,104.45694732666016,87.56430053710938,959,,,,
3,97.222412109375,81.4898910522461,979,,,,
3,101.38809204101562,84.55096435546875,999,,,,
3,100.0537338256836,82.87877655029297,1019,,,,
3,109.07186889648438,90.70706939697266,1039,,,,
3,108.0021743774414,90.27458953857422,1059,,,,
3,102.95875549316406,84.82691192626953,1079,,,,
3,109.10337829589844,90.47368621826172,1099,,,,
3,96.28944396972656,80.48170471191406,1119,,,,
3,96.25555419921875,81.9480209350586,1139,,,,
3,97.740478515625,82.17835998535156,1159,,,,
3,87.31100463867188,75.18195343017578,1179,,,,
3,,,1191,88.0290298461914,35.52544021606445,,
4,98.14947509765625,82.67999267578125,1199,,,,
4,91.04869079589844,77.69914245605469,1219,,,,
4,94.31254577636719,78.9239501953125,1239,,,,
4,90.89559173583984,77.19371795654297,1259,,,,
4,120.4394760131836,97.94441986083984,1279,,,,
4,80.53715515136719,68.73149108886719,1299,,,,
4,87.9603500366211,74.30855560302734,1319,,,,
4,88.18603515625,74.9349136352539,1339,,,,
4,71.00764465332031,60.14866638183594,1359,,,,
4,76.00881958007812,64.97027587890625,1379,,,,
4,69.98763275146484,60.728851318359375,1399,,,,
4,75.4887924194336,65.1268310546875,1419,,,,
4,68.83737182617188,59.84929275512695,1439,,,,
4,74.30641174316406,63.01536560058594,1459,,,,
4,71.27971649169922,61.624568939208984,1479,,,,
4,,,1489,64.41448974609375,25.420610427856445,,
5,66.39115142822266,57.45290756225586,1499,,,,
5,58.88469696044922,51.1885871887207,1519,,,,
5,64.75634002685547,56.59757614135742,1539,,,,
5,50.72863006591797,45.14377975463867,1559,,,,
5,50.69450378417969,45.12257766723633,1579,,,,
5,49.141273498535156,43.5897216796875,1599,,,,
5,50.08875274658203,43.09124755859375,1619,,,,
5,48.3585205078125,41.83940505981445,1639,,,,
5,45.26816177368164,40.1925048828125,1659,,,,
5,40.41764831542969,36.80613708496094,1679,,,,
5,56.538963317871094,47.004638671875,1699,,,,
5,36.23756408691406,32.675750732421875,1719,,,,
5,35.18863296508789,32.962745666503906,1739,,,,
5,35.55697250366211,33.1992301940918,1759,,,,
5,34.41999053955078,31.98533058166504,1779,,,,
5,,,1787,35.537635803222656,13.30942440032959,,
6,31.9134521484375,30.582639694213867,1799,,,,
6,28.013591766357422,27.611196517944336,1819,,,,
6,32.268611907958984,30.573352813720703,1839,,,,
6,30.593734741210938,29.38751220703125,1859,,,,
6,25.757429122924805,25.83722496032715,1879,,,,
6,23.30512046813965,23.88210105895996,1899,,,,
6,26.35885238647461,26.355031967163086,1919,,,,
6,20.43305778503418,21.954303741455078,1939,,,,
6,24.936798095703125,25.043752670288086,1959,,,,
6,22.39938735961914,23.56107521057129,1979,,,,
6,21.087053298950195,21.695852279663086,1999,,,,
6,17.255931854248047,19.435901641845703,2019,,,,
6,43.57838439941406,36.91643524169922,2039,,,,
6,18.128429412841797,20.385150909423828,2059,,,,
6,16.580615997314453,18.938907623291016,2079,,,,
6,,,2085,25.647531509399414,8.676904678344727,,
7,17.61577796936035,19.203407287597656,2099,,,,
7,15.835687637329102,17.902511596679688,2119,,,,
7,15.244359970092773,17.585729598999023,2139,,,,
7,14.932149887084961,17.087764739990234,2159,,,,
7,16.34433364868164,18.446327209472656,2179,,,,
7,25.6850643157959,25.21531105041504,2199,,,,
7,14.22531795501709,16.619850158691406,2219,,,,
7,13.349149703979492,15.78491497039795,2239,,,,
7,10.91171932220459,14.446950912475586,2259,,,,
7,11.942554473876953,15.067420959472656,2279,,,,
7,10.500934600830078,13.607610702514648,2299,,,,
7,10.465222358703613,13.601601600646973,2319,,,,
7,12.263714790344238,15.190781593322754,2339,,,,
7,12.202299118041992,15.252806663513184,2359,,,,
7,12.11442756652832,14.948417663574219,2379,,,,
7,,,2383,22.796802520751953,7.30872106552124,,
8,12.532456398010254,15.495813369750977,2399,,,,
8,9.741676330566406,13.05113697052002,2419,,,,
8,13.630967140197754,15.995012283325195,2439,,,,
8,10.57957649230957,13.53389835357666,2459,,,,
8,11.409528732299805,14.27354907989502,2479,,,,
8,9.219781875610352,12.612343788146973,2499,,,,
8,11.448938369750977,14.483546257019043,2519,,,,
8,8.522274017333984,12.263420104980469,2539,,,,
8,7.338889122009277,11.085192680358887,2559,,,,
8,9.79725170135498,12.852214813232422,2579,,,,
8,10.318607330322266,13.469942092895508,2599,,,,
8,16.05740737915039,17.383251190185547,2619,,,,
8,7.395369529724121,11.00911808013916,2639,,,,
8,9.48764419555664,12.715446472167969,2659,,,,
8,9.876870155334473,13.05225944519043,2679,,,,
8,,,2681,20.88814353942871,6.427671432495117,,
9,8.008830070495605,11.540245056152344,2699,,,,
9,8.088407516479492,11.586413383483887,2719,,,,
9,7.678848743438721,10.966257095336914,2739,,,,
9,7.3220672607421875,10.945381164550781,2759,,,,
9,8.818603515625,12.408722877502441,2779,,,,
9,8.765076637268066,12.059069633483887,2799,,,,
9,7.520780563354492,10.891350746154785,2819,,,,
9,6.939983367919922,10.544920921325684,2839,,,,
9,8.456771850585938,12.220036506652832,2859,,,,
9,7.107486724853516,10.43831729888916,2879,,,,
9,8.635319709777832,12.271081924438477,2899,,,,
9,6.8268585205078125,10.654455184936523,2919,,,,
9,6.504323959350586,10.279838562011719,2939,,,,
9,13.109676361083984,15.120808601379395,2959,,,,
9,7.376773834228516,11.041293144226074,2979,,,,
9,,,2979,21.456026077270508,6.622829914093018,,
10,6.413908958435059,10.133356094360352,2999,,,,
10,7.125377178192139,10.532000541687012,3019,,,,
10,6.449278354644775,9.90693473815918,3039,,,,
10,6.947868347167969,10.746708869934082,3059,,,,
10,6.703712463378906,10.258342742919922,3079,,,,
10,6.050410747528076,9.590346336364746,3099,,,,
