epoch,train_mpjpe_3d,step,train_loss,val_loss,val_mpjpe_3d,test_mpjpe_3d,test_loss
0,91.36785888671875,19,112.81880950927734,,,,
0,96.2978515625,39,118.31483459472656,,,,
0,95.8118896484375,59,116.91574096679688,,,,
0,97.39293670654297,79,119.21441650390625,,,,
0,87.3439712524414,99,106.76747131347656,,,,
0,90.31704711914062,119,108.70930480957031,,,,
0,90.45999908447266,139,110.1502685546875,,,,
0,94.14958953857422,159,118.232666015625,,,,
0,93.75480651855469,179,115.2855224609375,,,,
0,90.33011627197266,199,110.08131408691406,,,,
0,96.50852966308594,219,117.8499984741211,,,,
0,92.4765853881836,239,113.21438598632812,,,,
0,95.15238189697266,259,115.46734619140625,,,,
0,93.4863052368164,279,112.99887084960938,,,,
0,,297,,43.486148834228516,103.98992156982422,,
1,92.38035583496094,299,112.84378814697266,,,,
1,95.04120635986328,319,116.97674560546875,,,,
1,95.83023071289062,339,115.45964050292969,,,,
1,94.65261840820312,359,116.24451446533203,,,,
1,98.29559326171875,379,121.61045837402344,,,,
1,89.0391616821289,399,110.33454895019531,,,,
1,103.16984558105469,419,128.91549682617188,,,,
1,97.42333984375,439,118.336181640625,,,,
1,90.92042541503906,459,111.2052001953125,,,,
1,98.39875030517578,479,120.11180114746094,,,,
1,92.76033020019531,499,112.68119812011719,,,,
1,88.10599517822266,519,107.5848388671875,,,,
1,90.80830383300781,539,110.86416625976562,,,,
1,95.7525634765625,559,117.27272033691406,,,,
1,91.66224670410156,579,112.37152862548828,,,,
1,,595,,42.712398529052734,102.51319122314453,,
2,93.785400390625,599,114.58146667480469,,,,
2,96.58074188232422,619,117.02362060546875,,,,
2,91.06366729736328,639,109.99002075195312,,,,
2,93.6927261352539,659,113.49644470214844,,,,
2,96.09524536132812,679,115.26036071777344,,,,
2,101.77452087402344,699,127.01724243164062,,,,
2,95.57152557373047,719,115.59124755859375,,,,
2,95.40080261230469,739,115.31770324707031,,,,
2,96.56751251220703,759,118.64849853515625,,,,
2,89.43412780761719,779,108.23063659667969,,,,
2,91.77259063720703,799,110.75758361816406,,,,
2,97.27688598632812,819,117.21519470214844,,,,
2,85.54286193847656,839,102.92243194580078,,,,
2,92.30786895751953,859,113.16046142578125,,,,
2,89.26885986328125,879,107.51639556884766,,,,
2,,893,,40.34343338012695,98.05374908447266,,
3,87.6126480102539,899,105.88246154785156,,,,
3,89.24336242675781,919,104.38523864746094,,,,
3,88.05812072753906,939,104.51826477050781,,,,
3,88.96025848388672,959,106.81602478027344,,,,
3,93.19802856445312,979,111.99165344238281,,,,
3,86.7646713256836,999,104.67671203613281,,,,
3,84.93544006347656,1019,101.09786987304688,,,,
3,86.06929779052734,1039,102.3945541381836,,,,
3,82.14554595947266,1059,96.11280822753906,,,,
3,82.61324310302734,1079,97.31809997558594,,,,
3,80.83903503417969,1099,96.26453399658203,,,,
3,80.14562225341797,1119,93.26400756835938,,,,
3,81.67105865478516,1139,95.15870666503906,,,,
3,82.20967864990234,1159,97.05917358398438,,,,
3,80.04417419433594,1179,93.21710205078125,,,,
3,,1191,,34.46565628051758,85.74574279785156,,
4,76.13703155517578,1199,89.17738342285156,,,,
4,75.75008392333984,1219,91.2259750366211,,,,
4,70.51309967041016,1239,82.85614776611328,,,,
4,79.4256591796875,1259,95.90936279296875,,,,
4,75.44470977783203,1279,91.01358795166016,,,,
4,64.63897705078125,1299,75.41349029541016,,,,
4,74.8871841430664,1319,87.86798095703125,,,,
4,68.84964752197266,1339,80.71539306640625,,,,
4,65.77223205566406,1359,76.86188507080078,,,,
4,64.87541961669922,1379,76.81275177001953,,,,
4,62.973976135253906,1399,73.19566345214844,,,,
4,57.522743225097656,1419,68.03105163574219,,,,
4,55.19953155517578,1439,65.4957275390625,,,,
4,58.74360275268555,1459,68.51290893554688,,,,
4,60.94682693481445,1479,71.29106903076172,,,,
4,,1489,,24.933473587036133,62.782161712646484,,
5,52.14143371582031,1499,59.73973083496094,,,,
5,53.12485885620117,1519,63.198448181152344,,,,
5,53.65341567993164,1539,63.51325607299805,,,,
5,47.7557373046875,1559,54.054443359375,,,,
5,43.445640563964844,1579,49.20221710205078,,,,
5,45.26350784301758,1599,51.954193115234375,,,,
5,39.9428825378418,1619,44.49873352050781,,,,
5,42.13494110107422,1639,48.21551513671875,,,,
5,40.229286193847656,1659,44.93146896362305,,,,
5,40.41655349731445,1679,45.28401565551758,,,,
5,36.93647003173828,1699,40.809898376464844,,,,
5,41.90266036987305,1719,48.610233306884766,,,,
5,28.862653732299805,1739,30.56744384765625,,,,
5,27.9586181640625,1759,28.718841552734375,,,,
5,30.80592918395996,1779,32.85785675048828,,,,
5,,1787,,12.992241859436035,34.55827713012695,,
6,28.13620948791504,1799,28.79806137084961,,,,
6,27.695280075073242,1819,29.162540435791016,,,,
6,27.046598434448242,1839,27.30097198486328,,,,
6,25.45446014404297,1859,25.749738693237305,,,,
6,24.485069274902344,1879,23.66170310974121,,,,
6,24.3131160736084,1899,23.6334171295166,,,,
6,25.08832550048828,1919,24.872373580932617,,,,
