train_loss,step,epoch,train_mpjpe_3d,val_loss,val_mpjpe_3d,test_loss,test_mpjpe_3d
117.20531463623047,19,0,95.30587005615234,,,,
120.80186462402344,39,0,97.84918975830078,,,,
121.51698303222656,59,0,100.93063354492188,,,,
114.99275207519531,79,0,94.94779968261719,,,,
118.35736083984375,99,0,95.34327697753906,,,,
116.96562194824219,119,0,95.56256866455078,,,,
113.11477661132812,139,0,93.39191436767578,,,,
115.40846252441406,159,0,93.67516326904297,,,,
114.78190612792969,179,0,92.3723373413086,,,,
119.46794128417969,199,0,96.49248504638672,,,,
122.24925231933594,219,0,97.29476928710938,,,,
118.47421264648438,239,0,96.56555938720703,,,,
123.1694107055664,259,0,100.35685729980469,,,,
110.10880279541016,279,0,90.7174072265625,,,,
,297,0,,43.54612731933594,104.0896987915039,,
118.05093383789062,299,1,97.87885284423828,,,,
115.27130126953125,319,1,93.370849609375,,,,
118.27130126953125,339,1,96.34275817871094,,,,
117.86239624023438,359,1,96.46347045898438,,,,
124.22632598876953,379,1,100.32312774658203,,,,
113.55147552490234,399,1,92.7286148071289,,,,
120.29547119140625,419,1,97.82262420654297,,,,
121.70535278320312,439,1,99.468994140625,,,,
116.42237854003906,459,1,96.21515655517578,,,,
120.55001831054688,479,1,97.58615112304688,,,,
110.08950805664062,499,1,90.28196716308594,,,,
110.29460906982422,519,1,90.6925277709961,,,,
113.30178833007812,539,1,92.5071792602539,,,,
116.56438446044922,559,1,93.93656158447266,,,,
114.9850845336914,579,1,94.30746459960938,,,,
,595,1,,42.844329833984375,102.72857666015625,,
109.36404418945312,599,2,88.78984832763672,,,,
106.50707244873047,619,2,87.1105728149414,,,,
111.51985168457031,639,2,92.07649993896484,,,,
106.42057037353516,659,2,87.81784057617188,,,,
113.00003051757812,679,2,94.19139099121094,,,,
114.69146728515625,699,2,95.13629150390625,,,,
112.36878204345703,719,2,93.38343048095703,,,,
105.88700103759766,739,2,87.08094787597656,,,,
106.9361801147461,759,2,87.62128448486328,,,,
115.2109603881836,779,2,95.17242431640625,,,,
115.19585418701172,799,2,94.6200942993164,,,,
110.48072814941406,819,2,91.66838073730469,,,,
115.99412536621094,839,2,94.10556030273438,,,,
109.61065673828125,859,2,91.2496109008789,,,,
109.33067321777344,879,2,90.7662353515625,,,,
,893,2,,40.747650146484375,98.75389099121094,,
106.01854705810547,899,3,88.51737976074219,,,,
110.30162811279297,919,3,92.01589965820312,,,,
103.46510314941406,939,3,86.4702377319336,,,,
100.46096801757812,959,3,84.18757629394531,,,,
101.24679565429688,979,3,85.63539123535156,,,,
105.8189468383789,999,3,89.55351257324219,,,,
103.83781433105469,1019,3,85.90885162353516,,,,
100.85640716552734,1039,3,84.1414794921875,,,,
97.71908569335938,1059,3,83.34907531738281,,,,
115.79977416992188,1079,3,96.30598449707031,,,,
101.19999694824219,1099,3,85.27708435058594,,,,
89.58575439453125,1119,3,76.29904174804688,,,,
95.77941131591797,1139,3,81.69996643066406,,,,
92.34336853027344,1159,3,80.17362213134766,,,,
91.4807357788086,1179,3,78.24278259277344,,,,
,1191,3,,35.10343551635742,87.45831298828125,,
93.92145538330078,1199,4,79.72769165039062,,,,
91.73699951171875,1219,4,78.45760345458984,,,,
81.18826293945312,1239,4,69.88163757324219,,,,
85.300048828125,1259,4,73.3104019165039,,,,
83.34982299804688,1279,4,70.94511413574219,,,,
80.1637954711914,1299,4,69.29573059082031,,,,
79.07051086425781,1319,4,68.27313995361328,,,,
78.20785522460938,1339,4,66.33564758300781,,,,
78.60176086425781,1359,4,67.45989227294922,,,,
70.87251281738281,1379,4,61.976375579833984,,,,
71.64653015136719,1399,4,62.06452941894531,,,,
74.3158950805664,1419,4,63.349647521972656,,,,
66.86031341552734,1439,4,57.80045700073242,,,,
69.9115219116211,1459,4,60.41321563720703,,,,
68.39912414550781,1479,4,58.267303466796875,,,,
,1489,4,,25.188739776611328,64.05329895019531,,
8.857264518737793,1499,5,58.25621032714844,,,,
6.81541109085083,1519,5,59.21917724609375,,,,
6.639219284057617,1539,5,57.35197067260742,,,,
7.9412994384765625,1559,5,70.8823471069336,,,,
6.69877815246582,1579,5,63.88689422607422,,,,
6.570409297943115,1599,5,63.60212326049805,,,,
6.427490711212158,1619,5,58.375125885009766,,,,
6.599512100219727,1639,5,63.16347885131836,,,,
6.630512237548828,1659,5,63.846622467041016,,,,
6.274404525756836,1679,5,54.196746826171875,,,,
6.390934944152832,1699,5,58.631134033203125,,,,
6.336906433105469,1719,5,60.55859375,,,,
6.373557090759277,1739,5,61.85893249511719,,,,
8.76683235168457,1759,5,63.67992401123047,,,,
6.982680320739746,1779,5,65.17288970947266,,,,
,1787,5,,2.2500486373901367,65.4919662475586,,
6.341936111450195,1799,6,57.648109436035156,,,,
6.137147903442383,1819,6,56.680606842041016,,,,
6.23469352722168,1839,6,53.94453430175781,,,,
6.021902561187744,1859,6,49.01821517944336,,,,
6.0144243240356445,1879,6,59.522647857666016,,,,
6.030677318572998,1899,6,58.27743148803711,,,,
6.015855312347412,1919,6,56.09217834472656,,,,
6.059937953948975,1939,6,59.92889404296875,,,,
5.894482612609863,1959,6,55.48424530029297,,,,
6.15688419342041,1979,6,59.422569274902344,,,,
6.17063570022583,1999,6,59.3533821105957,,,,
5.832458019256592,2019,6,54.0619010925293,,,,
6.283222198486328,2039,6,62.944114685058594,,,,
6.232001304626465,2059,6,56.1905632019043,,,,
7.0043768882751465,2079,6,72.46935272216797,,,,
,2085,6,,2.2015624046325684,59.737396240234375,,
5.614173889160156,2099,7,46.51340103149414,,,,
6.079078674316406,2119,7,57.33271789550781,,,,
5.766725063323975,2139,7,50.33895492553711,,,,
5.8268141746521,2159,7,50.14311599731445,,,,
5.843743324279785,2179,7,48.37876510620117,,,,
5.75674295425415,2199,7,55.7043342590332,,,,
5.837972640991211,2219,7,49.34452819824219,,,,
6.681836128234863,2239,7,54.55851364135742,,,,
5.662834167480469,2259,7,48.69309997558594,,,,
5.478529930114746,2279,7,47.19912338256836,,,,
5.728036880493164,2299,7,51.57362747192383,,,,
5.796291828155518,2319,7,52.27885437011719,,,,
5.700181484222412,2339,7,54.287967681884766,,,,
5.500507354736328,2359,7,46.28411102294922,,,,
5.326994895935059,2379,7,38.8743782043457,,,,
,2383,7,,2.2652368545532227,53.17753601074219,,
5.39527702331543,2399,8,45.128238677978516,,,,
5.498358726501465,2419,8,41.519676208496094,,,,
5.462746620178223,2439,8,46.170806884765625,,,,
5.703780174255371,2459,8,46.1788444519043,,,,
5.525526523590088,2479,8,45.56946563720703,,,,
5.561873435974121,2499,8,46.57368850708008,,,,
5.606871128082275,2519,8,46.605316162109375,,,,
5.399721145629883,2539,8,42.086082458496094,,,,
5.417571067810059,2559,8,44.774131774902344,,,,
5.262951374053955,2579,8,40.36140823364258,,,,
5.281108856201172,2599,8,40.04940414428711,,,,
5.2079877853393555,2619,8,40.96809387207031,,,,
5.41806697845459,2639,8,43.070457458496094,,,,
5.414093494415283,2659,8,42.116302490234375,,,,
5.162428855895996,2679,8,40.98025894165039,,,,
,2681,8,,2.199035882949829,45.53737258911133,,
5.317704677581787,2699,9,41.47182083129883,,,,
5.030204772949219,2719,9,38.46651077270508,,,,
5.212103843688965,2739,9,41.288883209228516,,,,
5.8621110916137695,2759,9,49.31154251098633,,,,
5.350496292114258,2779,9,42.05365753173828,,,,
5.040911674499512,2799,9,35.16502380371094,,,,
4.818364143371582,2819,9,34.587493896484375,,,,
5.818577766418457,2839,9,40.319061279296875,,,,
5.182201385498047,2859,9,34.38774108886719,,,,
4.850048542022705,2879,9,32.482723236083984,,,,
4.891637802124023,2899,9,33.383766174316406,,,,
5.706748008728027,2919,9,41.766380310058594,,,,
4.902463436126709,2939,9,34.307861328125,,,,
4.686819553375244,2959,9,32.199493408203125,,,,
5.303273677825928,2979,9,40.04243087768555,,,,
,2979,9,,2.0544958114624023,37.142635345458984,,
4.857168674468994,2999,10,31.118650436401367,,,,
