epoch,step,train_loss,train_mpjpe_3d,val_loss,val_mpjpe_3d,test_mpjpe_3d,test_loss
0,19,5650.01611328125,104.34718322753906,,,,
0,39,3916.368408203125,85.75009155273438,,,,
0,59,4602.87451171875,93.22050476074219,,,,
0,79,4638.466796875,94.54464721679688,,,,
0,99,4032.29443359375,89.36917877197266,,,,
0,119,4923.22607421875,99.8758773803711,,,,
0,139,4533.8525390625,94.70384979248047,,,,
0,159,4687.529296875,97.00492858886719,,,,
0,179,4418.1162109375,94.19470977783203,,,,
0,199,4741.8916015625,97.57652282714844,,,,
0,219,4556.18115234375,96.76984405517578,,,,
0,239,4176.8203125,93.77399444580078,,,,
0,259,4532.634765625,97.72177124023438,,,,
0,279,4602.404296875,98.37065124511719,,,,
0,299,4305.76220703125,95.70030212402344,,,,
0,319,4225.52685546875,95.2449722290039,,,,
0,339,4414.4658203125,97.27082061767578,,,,
0,359,4685.08349609375,102.87699890136719,,,,
0,379,4101.74853515625,94.99662780761719,,,,
0,399,4182.412109375,97.04972839355469,,,,
0,419,3857.20556640625,93.3369140625,,,,
0,439,4143.7548828125,97.88216400146484,,,,
0,446,,,1414.0838623046875,104.21955108642578,,
1,459,2006.69140625,92.43000793457031,,,,
1,479,1422.616455078125,95.83822631835938,,,,
1,499,939.5554809570312,93.5324478149414,,,,
1,519,596.6612548828125,95.58573913574219,,,,
1,539,310.6559143066406,84.85828399658203,,,,
1,559,238.07754516601562,96.08811950683594,,,,
1,579,173.58334350585938,103.74809265136719,,,,
1,599,78.07209777832031,90.60338592529297,,,,
1,619,47.364654541015625,88.08207702636719,,,,
1,639,30.09061622619629,87.13136291503906,,,,
1,659,22.023876190185547,94.5960922241211,,,,
1,679,15.2783203125,83.49468231201172,,,,
1,699,13.669821739196777,89.9239730834961,,,,
1,719,13.173274993896484,92.79899597167969,,,,
1,739,12.329686164855957,83.62338256835938,,,,
1,759,12.426261901855469,89.94235229492188,,,,
1,779,12.566522598266602,91.93112182617188,,,,
1,799,12.175092697143555,80.52960968017578,,,,
1,819,12.38103199005127,92.2844009399414,,,,
1,839,12.18580150604248,83.37511444091797,,,,
1,859,12.057474136352539,84.65958404541016,,,,
1,879,12.395747184753418,88.00704193115234,,,,
1,893,,,4.271107196807861,90.96955871582031,,
2,899,11.942476272583008,76.9255142211914,,,,
2,919,12.024118423461914,81.935302734375,,,,
2,939,11.918465614318848,78.93732452392578,,,,
2,959,11.72956657409668,81.44145202636719,,,,
2,979,12.1109619140625,80.67450714111328,,,,
2,999,11.620199203491211,77.81764221191406,,,,
2,1019,11.79886531829834,77.61265563964844,,,,
2,1039,11.733156204223633,74.48750305175781,,,,
2,1059,11.974601745605469,78.29063415527344,,,,
2,1079,11.815181732177734,76.41901397705078,,,,
2,1099,11.556252479553223,71.56566619873047,,,,
2,1119,11.745052337646484,71.36278533935547,,,,
2,1139,11.80245304107666,76.67235565185547,,,,
2,1159,11.71197509765625,69.94306945800781,,,,
2,1179,11.677959442138672,73.48286437988281,,,,
2,1199,11.666020393371582,69.65799713134766,,,,
2,1219,11.71589183807373,72.13134765625,,,,
2,1239,11.476378440856934,66.85404968261719,,,,
2,1259,11.568660736083984,63.884761810302734,,,,
2,1279,11.46007251739502,67.56195831298828,,,,
2,1299,11.846420288085938,69.64126586914062,,,,
2,1319,11.534212112426758,65.58747863769531,,,,
2,1339,11.414735794067383,63.85576248168945,,,,
2,1340,,,4.1126389503479,68.80004119873047,,
3,1359,11.20312213897705,60.518009185791016,,,,
