train_loss,step,epoch,train_mpjpe_3d,val_mpjpe_3d,val_loss,test_loss,test_mpjpe_3d
5266.66015625,19,0,95.00667572021484,,,,
4811.810546875,39,0,91.69635772705078,,,,
5412.8330078125,59,0,96.9577865600586,,,,
4916.05859375,79,0,92.81761932373047,,,,
4097.21875,99,0,85.07242584228516,,,,
5484.0859375,119,0,98.89881134033203,,,,
5443.76611328125,139,0,99.32794189453125,,,,
5066.9736328125,159,0,96.22300720214844,,,,
5130.29833984375,179,0,97.85453796386719,,,,
4883.75341796875,199,0,94.28595733642578,,,,
4629.138671875,219,0,93.80403137207031,,,,
5209.92431640625,239,0,99.60002899169922,,,,
4968.84375,259,0,97.61176300048828,,,,
4843.064453125,279,0,95.97106170654297,,,,
4161.50390625,299,0,90.00370788574219,,,,
4945.08544921875,319,0,98.3134994506836,,,,
4470.82763671875,339,0,93.2526626586914,,,,
5062.861328125,359,0,99.54400634765625,,,,
4736.55615234375,379,0,96.22447967529297,,,,
4405.390625,399,0,92.90280151367188,,,,
4353.85205078125,419,0,93.99223327636719,,,,
4441.65234375,439,0,92.7890625,,,,
,446,0,,104.31209564208984,1671.856689453125,,
2757.784423828125,459,1,99.24331665039062,,,,
1730.96533203125,479,1,93.86839294433594,,,,
1484.1864013671875,499,1,101.28939056396484,,,,
928.821533203125,519,1,94.65039825439453,,,,
615.4044799804688,539,1,91.04149627685547,,,,
387.9618225097656,559,1,87.4817123413086,,,,
312.64202880859375,579,1,94.35952758789062,,,,
188.66229248046875,599,1,90.07438659667969,,,,
119.32193756103516,619,1,90.66578674316406,,,,
77.3648910522461,639,1,89.63545989990234,,,,
52.249290466308594,659,1,91.8866195678711,,,,
34.69875717163086,679,1,93.22924041748047,,,,
24.369674682617188,699,1,93.20376586914062,,,,
19.30025291442871,719,1,94.7679443359375,,,,
14.973255157470703,739,1,91.6107177734375,,,,
13.709857940673828,759,1,94.85580444335938,,,,
12.672821044921875,779,1,86.23263549804688,,,,
12.435629844665527,799,1,84.87751007080078,,,,
12.651721954345703,819,1,91.69898986816406,,,,
12.462444305419922,839,1,85.33783721923828,,,,
12.365415573120117,859,1,87.75968933105469,,,,
12.250161170959473,879,1,81.99821472167969,,,,
,893,1,,93.04814910888672,4.281454086303711,,
227.96575927734375,899,2,115.7705307006836,,,,
12.158895492553711,919,2,85.0373764038086,,,,
11.889872550964355,939,2,77.46321105957031,,,,
11.810127258300781,959,2,76.28801727294922,,,,
12.040422439575195,979,2,85.45576477050781,,,,
11.818220138549805,999,2,78.62572479248047,,,,
11.892364501953125,1019,2,79.38655853271484,,,,
11.431661605834961,1039,2,71.43113708496094,,,,
11.640563011169434,1059,2,76.19644927978516,,,,
11.854612350463867,1079,2,78.4754638671875,,,,
11.670536994934082,1099,2,73.80823516845703,,,,
11.840312004089355,1119,2,78.2472915649414,,,,
11.360031127929688,1139,2,70.46292114257812,,,,
11.672713279724121,1159,2,69.70993041992188,,,,
11.78298282623291,1179,2,79.08973693847656,,,,
268.32257080078125,1199,2,84.31617736816406,,,,
11.47325611114502,1219,2,69.62843322753906,,,,
11.55555534362793,1239,2,67.2336654663086,,,,
11.287881851196289,1259,2,63.5246696472168,,,,
11.858733177185059,1279,2,69.42024993896484,,,,
11.375202178955078,1299,2,62.404930114746094,,,,
11.439444541931152,1319,2,66.31481170654297,,,,
11.283818244934082,1339,2,64.66190338134766,,,,
,1340,2,,71.51890563964844,4.169157981872559,,
11.107572555541992,1359,3,60.692138671875,,,,
11.105891227722168,1379,3,57.843101501464844,,,,
11.168200492858887,1399,3,58.03664016723633,,,,
11.408340454101562,1419,3,62.46955490112305,,,,
11.174766540527344,1439,3,59.926048278808594,,,,
11.141972541809082,1459,3,53.61300277709961,,,,
10.665395736694336,1479,3,48.23139953613281,,,,
10.79896354675293,1499,3,47.415706634521484,,,,
10.762239456176758,1519,3,46.274837493896484,,,,
10.516791343688965,1539,3,44.58858108520508,,,,
10.457592010498047,1559,3,42.451026916503906,,,,
10.704232215881348,1579,3,40.5288200378418,,,,
10.29760456085205,1599,3,38.29389190673828,,,,
10.320791244506836,1619,3,39.08586120605469,,,,
9.974750518798828,1639,3,35.155460357666016,,,,
10.30090618133545,1659,3,36.59779357910156,,,,
9.942107200622559,1679,3,33.70831298828125,,,,
9.956145286560059,1699,3,33.720367431640625,,,,
10.128037452697754,1719,3,37.37811279296875,,,,
9.583680152893066,1739,3,30.225046157836914,,,,
9.572484016418457,1759,3,28.692058563232422,,,,
9.699970245361328,1779,3,29.19452476501465,,,,
,1787,3,,34.67613983154297,4.082996368408203,,
417.7263488769531,1799,4,38.06856918334961,,,,
9.468267440795898,1819,4,28.73739242553711,,,,
105.51594543457031,1839,4,35.50868606567383,,,,
9.610036849975586,1859,4,30.182132720947266,,,,
9.61577320098877,1879,4,29.827468872070312,,,,
9.262331008911133,1899,4,26.939495086669922,,,,
240.62640380859375,1919,4,34.2454719543457,,,,
9.509735107421875,1939,4,29.884105682373047,,,,
9.224555969238281,1959,4,28.280797958374023,,,,
8.98908805847168,1979,4,24.084325790405273,,,,
9.07905387878418,1999,4,24.4419002532959,,,,
8.870217323303223,2019,4,23.726858139038086,,,,
9.045021057128906,2039,4,23.262569427490234,,,,
8.794342041015625,2059,4,21.715259552001953,,,,
8.87080192565918,2079,4,23.229774475097656,,,,
8.88392448425293,2099,4,22.30925750732422,,,,
8.676143646240234,2119,4,21.082992553710938,,,,
178.7775115966797,2139,4,32.8469352722168,,,,
8.338985443115234,2159,4,18.941972732543945,,,,
8.774969100952148,2179,4,21.633516311645508,,,,
8.80916976928711,2199,4,21.98137664794922,,,,
8.748323440551758,2219,4,22.726280212402344,,,,
,2234,4,,27.619632720947266,4.943181991577148,,
8.559410095214844,2239,5,20.791778564453125,,,,
8.958319664001465,2259,5,23.352537155151367,,,,
8.303628921508789,2279,5,18.754621505737305,,,,
9.5880765914917,2299,5,24.976655960083008,,,,
8.155263900756836,2319,5,18.27243423461914,,,,
9.372685432434082,2339,5,24.34792709350586,,,,
8.628894805908203,2359,5,21.044971466064453,,,,
8.581568717956543,2379,5,18.31536865234375,,,,
8.496393203735352,2399,5,20.461692810058594,,,,
8.14122200012207,2419,5,16.533212661743164,,,,
8.34048080444336,2439,5,18.773094177246094,,,,
8.17508316040039,2459,5,16.715959548950195,,,,
8.14899730682373,2479,5,17.3339900970459,,,,
7.998169898986816,2499,5,16.410234451293945,,,,
8.130314826965332,2519,5,16.860258102416992,,,,
8.251254081726074,2539,5,18.303035736083984,,,,
8.07805061340332,2559,5,16.20736312866211,,,,
7.797412395477295,2579,5,14.0508451461792,,,,
8.00734806060791,2599,5,16.1149959564209,,,,
8.21303939819336,2619,5,17.178483963012695,,,,
7.768444061279297,2639,5,14.687250137329102,,,,
8.34701156616211,2659,5,17.54723358154297,,,,
7.757553577423096,2679,5,15.527373313903809,,,,
,2681,5,,24.286575317382812,5.9381303787231445,,
7.835216522216797,2699,6,14.449201583862305,,,,
8.050434112548828,2719,6,16.140552520751953,,,,
8.112258911132812,2739,6,16.001556396484375,,,,
7.9015092849731445,2759,6,14.839432716369629,,,,
